sku,mfgn,qty,price,map,mrp,list,wt,1stclass
34431,"0300DP1CHR",3,"27.15","","","57.41","0.85",1
34432,"0300DP2CHR",5,"31.80","","","67.26","1.2",0
34433,"0870DP0CHR",5,"21.53","","","45.52","1.5",0
34434,"1312DP0CHR",1,"17.69","","","37.44","0.9",0
34436,"0420006CHR",0,"354.78","","","706.53","3.65",0
34439,"0499DP0CHR",6,"59.71","","","126.27","0.5",1
34440,"0504DP0CHR",7,"45.39","","","95.97","0.35",1
34441,"1355DP0CHR",0,"61.18","","","129.39","0.75",1
34442,"1355DP0WHT",1,"59.31","","","125.44","0.75",1
34443,"1356DP0CHR",3,"63.34","","","133.97","0.75",1
34444,"1356DP0WHT",4,"61.49","","","130.05","0.8",1
34445,"1357DP0CHR",0,"66.62","","","140.91","0.9",1
34446,"1357DP0WHT",4,"39.99","","","130.24","0.9",1
34447,"1358DP0CHR",6,"69.99","","","271.52","0.8",1
34448,"1358DP0WHT",2,"69.99","","","267.62","0.8",1
34449,"0599DPDCHR",5,"37.04","","","78.35","0.55",1
34450,"0599DPGCHR",3,"38.93","","","82.30","0.5",1
34451,"GP330B",2,"360.00","","","450.00",2,0
34452,"1399DP0CHR",8,"29.90","","","63.22","0.65",1
34455,"0606DP0CHR",2,"214.51","","","403.28","0.6",0
34456,"0607DP0CHR",3,"99.99","","","403.28","0.6",0
34457,"0525DP0BLK",4,"20.43","","","38.40","0.2",1
34458,"1324DP0BLK",2,"17.93","","","37.91","0.15",1
34459,"1324DP1BLK",0,"19.73","","","41.71","0.2",1
34460,"1188DP4CHR",3,"17.71","","","37.48","0.6",1
34461,"1188DP6CHR",4,"12.08","","","25.54","0.6",1
34462,"1188DP8CHR",6,"25.11","","","53.11","0.55",1
34463,"1252DP0CHR",4,"24.26","","","51.32","0.85",1
34466,"0119DP4CHR",3,"31.36","","","66.29","0.35",1
34467,"0119DP6CHR",5,"46.10","","","97.50","0.75",1
34468,"1230DP0CHR",6,"14.66","","","31.00","0.45",1
34469,"0750DP0CHR",2,"123.35","","","260.87","1.95",0
34470,"0757DP0CHR",7,"18.41","","","38.94","0.5",1
34473,"0175DP3CHR",0,"262.88","","","525.11","2.3",0
34474,"0175DP3PLB",0,"239.69","","","478.79","2.3",0
34478,"1347DP4CHR",0,"61.94","","","116.44","1.3",0
34479,"1347DP6CHR",1,"64.76","","","121.75","2.5",0
34480,"1349DP6CHR",0,"92.46","","","173.83","1.55",0
34481,"1349DP8CHR",2,"95.25","","","179.07","1.7",0
34486,"1157DP1CHR",1,"60.36","","","113.48","0.45",1
34487,"1157DP1WHT",0,"59.44","","","111.74","0.45",1
34488,"1049P00DPB",4,"18.73","","","39.57","0.15",1
34489,"10493B0DPB",3,"5.00","","","41.90","0.2",1
34490,"1049P00DPC",3,"19.20","","","40.61","0.2",1
34492,"1611DP2CHR",1,"22.18","","","46.88","0.8",0
34514,11,7,"104.60","","","169.12","3.3",0
34515,"47DR",83,"24.69","","","45.62","0.85",1
34516,"A26043",1,"333.32","","","399.99","5.7",0
34517,"405FC",15,"33.41","","","61.74","1.4",0
34518,"401C",21,"36.22","","","58.58","1.45",0
34519,"401FC",34,"33.61","","","54.36","1.25",0
34520,"403C",8,"38.65","","","62.50","1.55",0
34521,"18220-1127",10,"224.10","","","362.38","7.15",0
34522,"34744-0000",14,"113.75","","","210.22","3.5",0
34523,"35115-0020",11,"60.71","","","98.18","2.6",0
34524,"35515-0010",18,"70.60","","","114.16","2.9",0
34525,"34739-0020",4,"106.07","","","196.00","4.2",0
34526,"35400-0010",6,"128.41","","","237.30","5.6",0
34527,"36740-0010",7,"113.40","","","209.56","4.75",0
34528,"35770-0094",6,"185.36","","","299.72","7.2",0
34529,"02840100A",8,"344.75","","","557.48","11.55",0
34530,"20R-35A",35,"35.34","","","57.14","1.2",0
34531,"50840-0012",38,"212.67","","","393.02","6.9",0
34532,"31911-0000",19,"64.49","","","104.28","1.4",0
34533,"37010-0092",3,"323.61","","","523.26",8,0
34534,"32900-0092",33,"113.00","","","182.72","8.4",0
34535,"IL500PK",2,"62.83","","","101.60","2.3",0
34536,"50070-0040",15,"65.60","","","121.22",1,0
34537,"50070-0200",4,"79.07","","","134.52","1.21",0
34538,"6050-0003",5,"475.27","","","882.95","28.75",0
34539,"11860-0005",4,"448.66","","","829.12","16.15",0
34540,"11810-0003",10,"338.09","","","860.34","22.45",0
34541,"18370-0000",3,"793.53","","","1283.14",23,0
34542,"37072-0092",28,"151.10","","","244.32","4.3",0
34543,"36950-2000",2,"305.92","","","494.68","8.35",0
34544,"36600-0010",4,"368.69","","","596.18","9.25",0
34545,"12210-0001",1,"280.19","","","453.08","6.2",0
34546,"31620-0094",8,"151.32","","","279.62","6.47",0
34550,"209B",18,"107.63","","","198.88","4.6",0
34551,"10-6UL",4,"104.01","","","168.20","3.15",0
34552,"15A",6,"162.97","","","263.52","5.8",0
34553,"403FC",14,"35.57","","","57.52","1.35",0
34554,"18590-2094",3,"143.12","","","231.42","5.25",0
34555,03,18,"76.91","","","124.36","3.1",0
34556,"55S",6,"239.87","","","387.86","7.5",0
34557,"16A",5,"164.77","","","266.44","5.9",0
34558,"56D",8,"167.14","","","270.26","5.9",0
34559,"25S-6WC",6,"63.30","","","102.34","0.85",1
34560,"25DR",209,"16.82","","","31.08","0.6",0
34561,"20RR",121,"26.47","","","48.92","0.7",0
34562,"20RS",10,"67.18","","","108.64","0.9",0
34564,"40FA",14,"33.03","","","53.40","0.6",1
34565,"60080-0024",4,"387.75","","","716.56","8.7",0
34566,"60010-2012",0,"965.00","","","1560.40","19.4",0
34567,"60010-2024",1,"1003.60","","","1622.82","18.65",0
34569,"62042-4006",0,"990.30","","","1601.32","13.5",0
34570,"98A-24",6,"86.45","","","159.76","3.6",0
34571,45,16,"16.73","","","27.04","0.15",1
34572,"18680-0920",3,"246.16","","","398.04","0.7",0
34573,"18680-1000",4,"249.73","","","403.80","6.45",0
34574,"18670-0123",10,"216.55","","","350.16","6.9",0
34575,"18670-0943",4,"222.40","","","359.62","6.9",0
34576,"010-11156-00",1,"20.99","","","29.99","0.55",1
34601,"220AHF012",1,"649.39","","","1065.00",47,0
34602,"220AHR012",0,"771.34","","","1265.00",55,0
34603,"220HF01201",2,"618.90","","","1015.00",45,0
34604,"220AHF01201",1,"631.10","","","1035.00",50,0
34605,"220HR01201",1,"740.85","","","1215.00",45,0
34606,"220AHR01201",0,"753.05","","","1235.00",55,0
34607,"220HF01202",3,"521.34","","","855.00",47,0
34608,"220AHF01202",0,"533.54","","","875.00",53,0
34609,"220HR01202",0,"643.29","","","1055.00",47,0
34610,"220AHR01202",1,"655.49","","","1075.00",53,0
34612,"760FS",4,"38.34","","","59.99","1.05",0
34613,"833FS",4,"53.40","","","84.99","1.25",0
34614,"855FS",6,"57.00","","","99.99","1.85",0
34615,1810,5,"10.53","","","19.99","0.1",1
34616,1812,8,"5.79","","","10.99","0.1",1
34617,1814,5,"5.69","","","10.99","0.1",1
34655,"MXA5000 01",2,"219.57","299.99","","425.00","1.65",0
34657,"CM 330-001",11,"27.00","","","49.95","0.4",0
34663,"R-7",8,"104.99","","","158.49","1.8",0
34666,"RA-1",5,"8.97","","","14.99","0.15",1
34671,"RA-8",2,"11.99","","","24.99","0.5",1
34681,"D10DX.01T",7,"99.99","","","139.99","2.2",0
34706,"T215",3,"980.76","","","1189.99","1.6",0
34762,"LMM-1",0,"657.56","","","1169.00",10,0
34763,"AD100",1,"19.64","","","27.00","0.15",1
34764,"LMM-2",1,"657.56","","","1169.00","9.3",0
34766,"AD114",4,"23.29","","","28.00","0.15",1
34767,"LM-GPS",1,"59.06","","","105.00","0.15",1
34768,9502,2,"57.22","","","103.00","0.8",0
34769,"SC18",0,"205.31","","","365.00","2.65",0
34770,"SC12",1,"207.56","","","369.00","3.4",0
34772,"SC20",2,"224.44","","","399.00","5.25",0
34773,"SC21",0,"244.69","","","435.00","7.25",0
34774,"M92722",0,"241.31","","","429.00","4.85",0
34775,"M92698",1,"289.69","","","515.00","6.1",0
34776,50100,0,"106.31","","","189.00","1.2",0
34781,"SC35",1,"185.06","","","329.00","3.35",0
34782,"SC45",1,"207.56","","","369.00","4.1",0
34783,"SC45R",0,"213.19","","","379.00","6.05",0
34786,"SPH-8D-W",0,"258.19","","","459.00",4,0
34788,"SPH-12D-W",1,"269.53","","","569.00","5.4",0
34790,"SPH-15D-W",0,"376.31","","","669.00","9.7",0
34792,"SPH-4I-W",0,"218.81","","","389.00","6.15",0
34812,"SPD-8D-W",1,"308.81","","","549.00",6,0
34817,"MS-AM702",2,"84.71","","","139.99","1.3",0
34821,"SPD-12D-W",1,"336.94","","","599.00",8,0
34840,"SPM-4I-W",2,"129.99","","","639.00","5.25",0
34845,48810,0,"804.38","","","1199.99","204.4",0
34848,"AIR-339-101",1,"76.00","","","95.00",2,0
34849,"AIR-339-102",1,"100.00","","","125.00",3,0
34899,5502,0,"32.32","","","53.87","1.1",0
34905,"PP4805",0,"322.49","","","429.99","5.4",0
34910,1413020134,0,"146.89","","","267.98","22.2",0
34911,1413040134,2,"146.89","","","267.98","23.15",0
34915,"XP15 0101",0,"62.25","","","113.58","19.7",0
34918,"XPD15L0101",0,"74.59","","","136.08","21.15",0
34924,"T900Z0101",1,"26.10","","","54.76","6.2",0
34926,"T1100Z0101",3,"28.00","","","58.75","7.45",0
34927,"T1300Z0101",0,"34.33","","","62.61","7.7",0
34942,"A62132",0,"37.49","","","44.99","1.9",0
34943,"A62133",0,"37.49","","","44.99","2.15",0
34947,"A55076D",0,"99.99","","","119.99",2,0
34948,"A55079D",0,"266.66","","","319.99","10.4",0
34949,"A55080D",1,"108.32","","","129.99",2,0
34950,"A55081D",2,"149.99","","","179.99",4,0
34957,"WSP12 0100",2,"7.95","","","14.51","1.1",0
34959,"WS20HD0600",0,"12.73","","","21.78","2.35",0
34960,"WC325 0100",0,"12.45","","","21.30","2.5",0
34961,"WC750 0100",6,"24.43","","","41.77","5.15",0
34962,2019,3,"14.01","","","23.34","0.3",1
34963,5503,5,"32.32","","","53.87","1.05",0
34964,"OML 0127",6,"21.59","","","36.92","2.65",0
34965,4378,0,"124.15","","","206.94","1.7",0
34967,7622,5,"164.83","","","274.71","2.05",0
34968,7623,0,"164.83","","","274.71",2,0
34969,11001,0,"34.67","","","57.78","1.15",0
34970,11003,0,"68.13","","","113.56","1.3",0
34971,2145,3,"15.17","","","25.28","0.1",1
34972,2146,6,"11.16","","","23.31","0.1",1
34973,1811,2,"77.60","","","129.34","0.2",1
34974,1810,0,"77.60","","","129.34",1,0
34975,407530,2,"25.93","","","54.05","1.15",0
34976,1800,0,"346.63","","","399.95","1.9",0
34977,407535,2,"31.58","","","65.84","1.2",0
34978,2151,12,"23.24","","","38.72","0.3",1
34979,1011,40,"7.12","","","11.86","0.1",1
34980,1010,3,"7.51","","","12.51","0.1",1
34981,407540,0,"63.13","","","131.61","3.85",0
34982,407550,0,"26.34","","","54.69","0.95",0
34983,2138,3,"27.57","","","45.96","0.2",1
34984,2139,8,"22.00","","","45.96","0.2",1
34985,407555,3,"31.11","","","64.61","0.95",0
34986,2140,9,"22.00","","","45.96","0.15",1
34987,2141,4,"27.57","","","45.96","0.75",1
34988,2142,9,"27.57","","","45.96","0.2",1
34989,2143,3,"27.57","","","45.96","0.3",1
34990,407560,1,"67.04","","","139.78","3.45",0
34994,283006,4,"22.11","","","43.05","0.85",1
34995,283056,13,"17.31","","","33.71","0.8",1
34996,287512,0,"51.95","","","101.55","2.8",0
34997,401566,0,"7.04","","","13.77","0.1",1
34998,401565,12,"7.04","","","13.77","0.15",1
35003,401567,0,"21.07","","","38.79","0.35",0
35005,787195,0,"15.21","","","27.50","0.9",1
35006,787196,1,"18.79","","","36.23","1.35",0
35007,"FNB-V105LI",3,"36.00","","","48.00","0.3",1
35008,1413230134,6,"155.95","","","284.51","21.2",0
35038,"SM-AD-ISO",0,"87.50","100.00","","125.00",1,0
35059,"T5E011",15,"9.39","","","19.95","0.15",1
35080,"010-11280-00",1,"18.74","","","21.99","0.8",1
35097,81167,1,"350.00","","","500.00","9.15",0
35098,"SP-80-1",1,"1329.30","","","1899.00",14,0
35109,"FW20000101",0,"93.41","","","170.42","13.45",0
35115,403076,0,"7.19","","","13.99","0.85",0
35116,403026,2,"8.16","","","15.94","0.85",1
35117,007509,6,"35.68","","","74.39",3,0
35118,707105,6,"14.98","","","33.41","1.4",0
35119,203315,0,"9.53","","","18.63","0.3",0
35120,707261,0,"10.67","","","19.28","0.95",0
35121,707250,0,"11.32","","","20.47","0.6",1
35122,707282,5,"8.13","","","14.72","0.25",1
35135,"0924KIT-00-000",0,"19.69","","","34.99","0.4",0
35136,"0925KIT-00-000",7,"9.22","","","12.99","0.15",0
35137,"0948KIT-00-000",5,"12.68","","","29.99","0.3",0
35140,"D10DX.06T",13,"114.99","","","159.99","2.3",0
35141,1368620,14,"503.16","","","599.99",57,0
35142,1368630,14,"645.72","","","769.99",59,0
35146,1368715,54,"304.27","","","349.99","29.1",0
35147,1368716,46,"312.96","","","359.99",30,0
35148,1368720,16,"391.20","","","449.99",30,0
35149,1368730,30,"486.83","","","559.99",30,0
35151,1027,3,"35.99","","","60.49","2.05",0
35152,1368661,7,"1053.56","","1279.99","1279.99",65,0
35153,1368672,4,"1160.56","","1409.99","1409.99",60,0
35157,1363641,0,"1038.70","","1229.99","1229.99",68,0
35162,1363420,7,"534.65","","","599.99",55,0
35164,1363421,1,"558.16","","","629.99",60,0
35166,1363422,8,"606.09","","699.99","699.99",55,0
35168,1363447,3,"883.17","","1019.99","1019.99",57,0
35169,1363446,9,"921.83","","1079.99","1079.99",63,0
35177,1129,2,"11.34","","","18.99","0.1",1
35192,"T16012",4,"87.49","","","104.99","1.05",0
35194,"010-10781-00",1,"16.31","","","23.30","2.05",0
35195,"TLM100-01",0,"168.28","","","225.00","0.65",1
35196,"TMP100-01",2,"220.64","","","295.00","1.25",0
35197,"TA-5H-1.5NPT",2,"18.70","","","25.00","0.25",1
35198,"TA-5H-1.25BSP",0,"18.70","","","25.00","0.15",1
35199,"TFT-5H",1,"29.92","","","40.00",3,0
35200,"TFT-1.5NPT",0,"29.92","","","40.00",3,0
35201,"TFT-1.25BSP",0,"56.10","","","75.00",3,0
35205,"TP-AAP-1",5,"18.33","","","24.50","0.2",1
35206,"TP-EGT-1",1,"96.48","","","129.00","0.25",1
35207,"TP-IP-1",0,"66.56","","","89.00","0.3",1
35251,"JENAUX",0,"15.91","","","23.99","0.6",1
35252,1177,0,"5.31","","","8.99","0.1",1
35253,1182,52,"8.43","","","14.49","0.1",1
35254,"E26027-PZ",2,"95.82","","","114.99",2,0
35260,"000-10247-001",0,"738.61","","","999.00","10.4",0
35265,"B164-12-BL",0,"764.76","","","999.00","10.55",0
35279,"106-49",0,"116.65","","","149.00","1.2",0
35281,5250,13,"41.41","","","97.95",2,0
35294,24005936,2,"80.07","","","105.00","0.25",1
